tstar,tau,LBM_evals,FDM_evals,LBMTime_median,FDMTime_median,LBMTime_mean,FDMTime_mean,median ratio,mean ratio
0.1,1,2,4,3.66E+10,1.90E+10,3.66E+10,1.90E+10,1,5.21E-01
0.1,2,6,4,1.19E+10,1.89E+10,1.20E+10,1.90E+10,2,1.58E+00
0.1,3,9,4,7.23E+09,1.90E+10,7.25E+09,1.90E+10,3,2.62E+00
0.1,4,12,4,5.18E+09,1.89E+10,5.20E+09,1.90E+10,4,3.65E+00
0.1,5,15,4,4.07E+09,1.89E+10,4.07E+09,1.90E+10,5,4.67E+00
0.1,6,19,4,3.32E+09,1.89E+10,3.32E+09,1.90E+10,6,5.73E+00
0.1,7,22,4,2.79E+09,1.89E+10,2.79E+09,1.90E+10,7,6.80E+00
0.1,8,25,4,2.43E+09,1.89E+10,2.43E+09,1.90E+10,8,7.80E+00
0.1,9,28,4,2.14E+09,1.89E+10,2.15E+09,1.90E+10,9,8.82E+00
0.1,10,32,4,1.92E+09,1.89E+10,1.93E+09,1.90E+10,10,9.83E+00
0.15,1,2,3,5.45E+10,2.84E+10,5.45E+10,2.85E+10,1,5.23E-01
0.15,2,4,3,1.82E+10,2.84E+10,1.83E+10,2.85E+10,2,1.56E+00
0.15,3,6,3,1.09E+10,2.84E+10,1.09E+10,2.85E+10,3,2.60E+00
0.15,4,8,3,7.80E+09,2.85E+10,7.79E+09,2.86E+10,4,3.68E+00
0.15,5,10,3,6.04E+09,2.84E+10,6.04E+09,2.85E+10,5,4.72E+00
0.15,6,13,3,5.00E+09,2.83E+10,4.99E+09,2.85E+10,6,5.71E+00
0.15,7,15,3,4.19E+09,2.85E+10,4.19E+09,2.86E+10,7,6.82E+00
0.15,8,17,3,3.67E+09,2.85E+10,3.66E+09,2.85E+10,8,7.78E+00
0.15,9,19,3,3.22E+09,2.84E+10,3.22E+09,2.84E+10,9,8.81E+00
0.15,10,21,3,2.87E+09,2.84E+10,2.87E+09,2.83E+10,10,9.88E+00
0.2,1,1,2,7.32E+10,3.79E+10,7.32E+10,3.79E+10,1,5.18E-01
0.2,2,3,2,2.42E+10,3.79E+10,2.42E+10,3.79E+10,2,1.56E+00
0.2,3,5,2,1.45E+10,3.78E+10,1.46E+10,3.78E+10,3,2.59E+00
0.2,4,6,2,1.03E+10,3.78E+10,1.03E+10,3.78E+10,4,3.67E+00
0.2,5,8,2,8.03E+09,3.79E+10,8.04E+09,3.79E+10,5,4.71E+00
0.2,6,10,2,6.55E+09,3.79E+10,6.58E+09,3.79E+10,6,5.77E+00
0.2,7,11,2,5.54E+09,3.81E+10,5.56E+09,3.81E+10,7,6.86E+00
0.2,8,13,2,4.76E+09,3.81E+10,4.78E+09,3.81E+10,8,7.96E+00
0.2,9,15,2,4.24E+09,3.81E+10,4.24E+09,3.81E+10,9,8.98E+00
0.2,10,16,2,3.80E+09,3.80E+10,3.80E+09,3.80E+10,10,9.98E+00
