tau,time,error1,error2,error3
1,0.01,0.08694723159187386,0.012457154703140167,1.9034559730408857e-5
1,0.05,0.004575733227188972,0.0005184787196352673,1.0773182795687942e-5
1,0.1,0.001032705220915142,0.00010740096543640345,4.143441577137748e-6
1,0.15,0.0003345093707232172,3.39010762068268e-5,1.5451687257212428e-6
1,0.2,0.00011891315207151118,1.194855044548313e-5,5.758798492710596e-7
1,0.3,1.6137418949581774e-5,1.6147715051847475e-6,7.998962259414987e-8
2,0.01,0.287541499283381,0.041395519631670985,6.310974305319654e-5
2,0.05,0.006385821146810134,0.0007360361590461264,1.4928680298619607e-5
2,0.1,0.0007254151258539238,7.558094256020853e-5,2.9100592504550592e-6
2,0.15,0.00031760365916687556,3.219067026726267e-5,1.467079434853776e-6
2,0.2,0.0003090573733687855,3.105413720378396e-5,1.496721861362545e-6
2,0.3,7.902049989034807e-5,7.907420014980885e-6,3.916871702597749e-7
3,0.01,0.5531019556199329,0.0812435703979243,0.00012012472572174335
3,0.05,0.011550321492703604,0.001345589799161203,2.6878532653345207e-5
3,0.1,0.0016149085746170269,0.0001676019250042916,6.48076007288993e-6
3,0.15,0.0018471547806811427,0.00018721041850267223,8.532399240041962e-6
3,0.2,0.0011261595227456175,0.00011316348013949243,5.453833886449623e-6
3,0.3,0.0002799808749443489,2.801695677558155e-5,1.3878033774210928e-6
4,0.01,0.9055098671396796,0.1378273539059167,0.00019109744615431652
4,0.05,0.013984844025725054,0.0016578348573742855,3.230440118966393e-5
4,0.1,0.0056521687253605285,0.0005871427755066421,2.2680485198907364e-5
4,0.15,0.0045922600776929084,0.00046539144163149635,2.1212619365374665e-5
4,0.2,0.0023341013935118085,0.00023453245885588734,1.130372830341701e-5
4,0.3,0.0005811286647459214,5.815034812707968e-5,2.8805264781379083e-6
5,0.01,1.5352498189409527,0.2407334972690138,0.00031639026957365956
5,0.05,0.018305826056438615,0.0021951415988510385,4.207535131983144e-5
5,0.1,0.010365012071353152,0.0010768478682104319,4.159118929868539e-5
5,0.15,0.007891125400044408,0.0007997085886727062,3.6450774023218185e-5
5,0.2,0.0044072317052237615,0.0004428634962198921,2.1343609955869408e-5
5,0.3,0.0009821075757214138,9.827412710693431e-5,4.868090403837432e-6
6,0.01,2.505931477537851,0.4000228920338381,0.0005123662186125119
6,0.05,0.029175092044700493,0.0034875562669417627,6.715034190079142e-5
6,0.1,0.017492761466518326,0.0018173606972971166,7.019134673165282e-5
6,0.15,0.011975604998477178,0.0012137270361531841,5.531784613503027e-5
6,0.2,0.00648210750767405,0.000651329309245537,3.139194477926043e-5
6,0.3,0.0015347445416119166,0.00015357751405514216,7.607389821703311e-6
7,0.01,3.428784741291184,0.5654531711681852,0.0006710539920016394
7,0.05,0.037457459204979456,0.004497693478508335,8.604619009700583e-5
7,0.1,0.02429915082830109,0.0025245418244955273,9.750242963959441e-5
7,0.15,0.01663608854000791,0.0016860681249130354,7.684560141846193e-5
7,0.2,0.009501988468412432,0.0009548124888833135,4.6016808089866846e-5
7,0.3,0.0021125320129620124,0.0002113950726318081,1.0471354741909777e-5
8,0.01,4.575681594884165,0.7738414612512982,0.0008547233709114002
8,0.05,0.04319468576134823,0.005229699955008688,9.886808647961702e-5
8,0.1,0.03391188157819587,0.0035235351724412405,0.0001360733310938627
8,0.15,0.022880862821350566,0.002318976447190362,0.0001056915266658718
8,0.2,0.012302617541537763,0.0012361812325961856,5.95798650163108e-5
8,0.3,0.0028550459390277484,0.0002856962302715281,1.4151832326596284e-5
9,0.01,6.1021348251535485,1.0,0.0011658005840522085
9,0.05,0.030940506062239963,0.003919420948429455,6.941486022951435e-5
9,0.1,0.04153148538908765,0.004315170291685675,0.00016664758413145912
9,0.15,0.030279294858748668,0.0030688086546466786,0.00013986643762251369
9,0.2,0.015976426672566286,0.0016054003100370456,7.737161145884913e-5
9,0.3,0.003718144065537277,0.000372063846540006,1.8430019167932383e-5
10,0.01,7.038019614872077,1.0,0.0014782141831578774
10,0.05,0.05038378205671711,0.006236549411141587,0.00011421037578700681
10,0.1,0.05374979465091713,0.005585911729303874,0.0002156727694375238
10,0.15,0.037425519748743585,0.0037928309905461348,0.00017287635057499265
10,0.2,0.020253126221030513,0.002035146060033594,9.808307229679326e-5
10,0.3,0.004571145812432073,0.00045742126392894463,2.2658160484795828e-5
